CLAVE DE INMUEBLE,TECNOLOGIA INSTALADA,ANCHO DE BANDA CONTRATADO 2014,INSTITUCION,NOMBRE DEL CENTRO,TURNO/HORARIO,NIVEL,REGION,MUNICIPIO,LOCALIDAD,DOMICILIO,CODIGO POSTAL,LONGITUD,LATITUD,ESTATUS
1410325A, iMAX,2 MB,SEJ,JUAN ESCUTIA,VESPERTINO,PRIMARIA,CENTRO,EL SALTO,HACIENDA VIEJA DEL CASTILLO (CASTILLO VIEJO),PROLONGACION MAURO LOPEZ  UM. 8 COL. EX HACIENDA VIEJA DEL CASTILLO,45680,-103.245,20.5413889,SIN SERVICIO
1410326E, iMAX,2 MB,SEJ,JUAN DE LA BARRERA,VESPERTINO,PRIMARIA,CENTRO,EL SALTO,EL MUEY,CAMINO VIEJO AL CASTILLO 18,45682,-103.2208833,20.5030833,SIN SERVICIO
1410330E, iMAX,2 MB,SEJ,JOSE VASCONCELOS,MATUTINO,PREESCOLAR,CENTRO,EL SALTO,LAS PINTAS,20 DE MAYO,45690,-103.3250278,20.5732778,SIN SERVICIO
1410332B, iMAX,2 MB,SEJ,REVOLUCION,MATUTINO,PRIMARIA,CENTRO,EL SALTO,LAS PINTAS,20 DE MAYO 6608 ENTRE EMILIANO ZAPATA Y LAS TORRES ,45690,-103.3311111,20.5786111,SIN SERVICIO
1410334J, iMAX,2 MB,SEJ,IGNACIO ZARAGOZA,MATUTINO,PRIMARIA,CENTRO,EL SALTO,LAS PINTAS,AV. SANTA ROSA S/N,45690,-103.3244444,20.5572222,SIN SERVICIO
1410335C, iMAX,2 MB,SEJ,NI—OS HEROES,MATUTINO,SECUNDARIA,CENTRO,EL SALTO,LAS PINTAS,"SAN FRANCISCO 15, COL SANTA ROSAS DEL VALLE ",45690,-103.3305556,20.5708333,SIN SERVICIO
1410336G, iMAX,2 MB,SEJ,IRENE ROBLEDO GARCIA,MATUTINO,PRIMARIA,CENTRO,EL SALTO,LAS PINTAS,20 DE MAYO 2608 ENTRE EMILIANO ZAPATA,45690,-103.3245333,20.5731167,SIN SERVICIO
1410337K, iMAX,2 MB,SEJ,JOSE GUADALUPE MEJIA LOPEZ,VESPERTINO,PRIMARIA,CENTRO,EL SALTO,LAS PINTAS,FRANCISCO I MADERO 42 ENTRE PEDRO MORENO Y MONTES DE OCA ,45690,-103.3254333,20.5506167,SIN SERVICIO
1410340G, iMAX,2 MB,SEJ,LAZARO CARDENAS DEL RIO,MATUTINO,SECUNDARIA,CENTRO,EL SALTO,LAS PINTAS,PROLONGACION 20 DE MAYO ENTRE EMILIANO ZAPATA Y LAZARO CARDENAS ,45690,-103.3253056,20.5726944,SIN SERVICIO
1410341K, iMAX,2 MB,SEJ,MARIA TRINIDAD U—EZ,VESPERTINO,PREESCOLAR,CENTRO,EL SALTO,LAS PINTAS,SAN MIGUEL,45690,-103.3286111,20.5680556,SIN SERVICIO
1410347B, iMAX,2 MB,SEJ,JOSE PALOMAR Y RUEDA,VESPERTINO,PRIMARIA,CENTRO,EL SALTO,LAS PINTITAS,DEL CARMEN ENTRE RESOLANA Y LA PAZ ,45693,-103.3169444,20.5643611,SIN SERVICIO
1410349J, iMAX,2 MB,SEJ,DAVID GALLO LOZANO,VESPERTINO,PRIMARIA,CENTRO,EL SALTO,LAS PINTITAS,GUADALUPE VICTORIA 6 ENTRE LAZARO CARDENAS Y SAN JUAN ,45693,-103.303,20.5559444,SIN SERVICIO
1410352F, iMAX,2 MB,SEJ,VALENTIN GOMEZ FARIAS,MATUTINO,PRIMARIA,CENTRO,EL SALTO,LAS PINTITAS,PASEO DE LAS MAGNOLIAS 199 ENTRE LOS CABOS Y 0 ,45693,-103.3075,20.5475,SIN SERVICIO
1410353J, iMAX,2 MB,SEJ,PEDRO OGAZON,MATUTINO,PRIMARIA,CENTRO,EL SALTO,LAS PINTITAS,PRIVADA HIDALGO 3822 ENTRE RIO GRANDE Y CARRETERA A CHAPALA ,45693,-103.3091667,20.5619444,SIN SERVICIO
1410355G, iMAX,2 MB,SEJ,ARTURO CHAVEZ HAYHO,VESPERTINO,PREESCOLAR,CENTRO,EL SALTO,LAS PINTITAS,SAN JUAN 31,45693,-103.3026667,20.55625,SIN SERVICIO
1410356K, iMAX,2 MB,SEJ,S/N,MATUTINO,SECUNDARIA,CENTRO,EL SALTO,LAS PINTITAS,SANTA FE 55 COL. EL 13 ENTRE SANTA RITA ,45693,-103.30255,20.5592667,SIN SERVICIO
1410357D, iMAX,2 MB,SEJ,ATZAYACATL,MATUTINO,PREESCOLAR,CENTRO,EL SALTO,LAS PINTITAS,TECATE 15,45692,-103.3068889,20.5495556,SIN SERVICIO
1410359A, iMAX,2 MB,SEJ,ESC. SEC. TEC. 92,MATUTINO,SECUNDARIA,CENTRO,EL SALTO,SAN JOSE DEL CASTILLO,5 DE FEBRERO # 134 ENTRE HIDALGO Y 30 DE ABRIL ,45685,-103.2375556,20.5156111,SIN SERVICIO
1410361D, iMAX,2 MB,SEJ,FLORES MAGON,VESPERTINO,PRIMARIA,CENTRO,EL SALTO,SAN JOSE DEL CASTILLO,CRISANTEMOS 31 ENTRE AVENIDA DE LAS BUGAMBILIAS Y AVENIDA GARDENIAS ,45685,-103.2358056,20.50375,SIN SERVICIO
1410366B, iMAX,2 MB,SEJ,JOSE MA MORELOS Y PAVON,MATUTINO,PRIMARIA,CENTRO,EL SALTO,SAN JOSE DEL CASTILLO,JOSE MARIA MORELOS Y PAVON 10 ENTRE CLEMENTE OROZCO Y GUADALUPE VICTORIA ,45685,-103.3730556,20.7236111,SIN SERVICIO
1410369C, iMAX,2 MB,SEJ,EVA BRISE—O,VESPERTINO,PREESCOLAR,CENTRO,EL SALTO,SAN JOSE DEL CASTILLO,PASEO DE LAS CASUARINAS,45685,-103.2466667,20.5097222,SIN SERVICIO
1410370B, iMAX,2 MB,SEJ,CECYTEJ 5,MATUTINO,BACHILLERATO,CENTRO,EL SALTO,SAN JOSE DEL CASTILLO,PROLONGACION HIDALGO ENTRE 5 DE MAYO ,45685,-103.2330278,20.52675,SIN SERVICIO
